Carimbo de data/hora,Qual seu curso?,Qual seu semestre?,Qual é o seu nível de experiência em programação?,Você já usou alguma ferramenta de IA para auxiliar no aprendizado de programação?,"Se sim, qual(is) ferramenta(s) de IA você usou?",Com que frequência você utiliza IA para aprender ou resolver problemas de programação?,Qual a principal razão para utilizar IA no aprendizado de programação?,"Na sua opinião, o uso de IA impactou positivamente sua habilidade em resolver problemas de programação?",Quais habilidades de programação você considera que a IA ajuda a desenvolver? (Selecione todas que se aplicam),O uso de IA ajudou você a ganhar mais confiança para programar de forma independente?,Você acha que o uso de IA pode criar uma dependência ao programar?,"Ao usar IA, você sente que compreende melhor os conceitos ou que apenas obtém respostas rápidas?",Qual foi a sua maior dificuldade ao aprender a programar sem usar IA?,"Qual a sua opinião sobre o uso de IA para aprendizado em disciplinas técnicas, como programação?","Opcional, mas importante para nossa pesquisa: Crie uma função/programa em qualquer linguagem de programação que receba uma lista de números inteiros e retorne uma nova lista contendo apenas os números primos. Por favor, resolva sem o uso de IA. Caso não tenha certeza na resposta, envie o código da forma que acredita estar correto. "
29/10/2024 15:19:41,Engenharia de Software,8º,Avançado,Sim,"Chat Gpt, Copilot",Quase sempre,"Entender códigos, Melhorar habilidades de codificação, Otimizar tempo",Sim,"Lógica, Sintaxe, Estrutura de Dados, Algorítimos",Discordo,Sim,Apenas obtenho respostas rápidas,"Minha principal dificuldade foi encontrar tutoriais resumidos para aprender linguagens novas. A IA facilita meu trabalho em não ter que pesquisar em diversas fontes/sites sobre como utilizar um determinado framework ou uma função de uma lib, por exemplo.","A IA facilita muita coisa, eleva sua curva de aprendizado e agrega em um só lugar conhecimentos que você precisaria procurar em vários sites, de várias fontes diferentes. Porém, ela deve ser usada com parcimônia, para que não cause uma excessiva dependência.","Solução em haskell:

primos l = [e | e <- l, all (\f -> gcd e f == 1) [2..floor(sqrt(fromInteger e))]]"
30/10/2024 00:52:54,Engenharia de Software,Primeiro,Intermediário,Sim,"Chat Gpt, Gemini",Raramente,"Resolver problemas, Entender códigos, Melhorar habilidades de codificação, Otimizar tempo",Sim,"Lógica, Sintaxe, Estrutura de Dados",Discordo Totalmente,Sim,Compreendo melhor,"Nenhuma, já que grande parte das ferramentas estão em constante desenvolvimento, então a IA em sua maioria, mais atrapalha que ajuda, mas em casos onde mais a lógica importa, ela se sai melhor ","Um bom professor para te ensinar, mas ele mente de vez em quando ",
30/10/2024 07:33:38,Ciência da Computação,5,Avançado,Sim,"Chat Gpt, Copilot",Sempre,"Resolver problemas, Entender códigos, Gerar ideias, Melhorar habilidades de codificação, Otimizar tempo",Sim,"Lógica, Sintaxe, Depuração, Otimização",Neutro,Sim,Compreendo melhor,Pensar em uma lógica para o problema ,Sou a favor ,"int primos(int x)
if(x <=1) return 0
if(x == 2) return 1
if(x%2==0) return 0
for(int i=3;i*i <= x;i+=2){
if(x%i == 0) return 0} return 1}
//eu faço o código sem IA e vocês corrigem com IA?
"
01/11/2024 12:36:57,Engenharia de Software,Primeiro,Intermediário,Sim,"Chat Gpt, Gemini",Raramente,"Resolver problemas, Entender códigos, Gerar ideias, Melhorar habilidades de codificação",Sim,"Lógica, Estrutura de Dados, Otimização",Discordo Totalmente,Sim,Compreendo melhor,Nenhuma pois grande parte do tempo eu leio as documentações ou exemplos praticos das bibliotecas,"No começo ele pode lhe ajudar bastante, muito mesmo, mas chega num ponto onde ele cria exemplos que mais trazem problemas do que soluções, então ao longo do tempo, é melhor focar no entendimento do que criar uma dependencia de um lixo que so sabe mentir.","const numbers = [1, 2, 3, 4, 5, 6, 7]

const primos: number[] = []
for (const number of numbers) {
  if (number <= 1) continue
  if (number**2 % 2) primos.push(number)
}
console.log(primos)"
04/11/2024 20:16:52,Engenharia de Software,2,Iniciante,Sim,Chat Gpt,Quase sempre,"Resolver problemas, Entender códigos",Não,"Sintaxe, Algorítimos",Discordo Totalmente,Sim,Apenas obtenho respostas rápidas,Desenvolver a lógica por trás.,Te deixa muito relaxado e não te forma um bom profissional,
04/11/2024 22:01:38,Ciência da Computação,2,Iniciante,Sim,"Chat Gpt, Copilot, CodePilot",Quase sempre,Entender códigos,Sim,"Sintaxe, Facilita a leitura e encontrar erros em codigos",Concordo,Sim,Compreendo melhor,"Demora para um avanço que precisava
",deve ser usado com responsabilidade... pode causar dependência,
05/11/2024 13:15:16,Ciência da Computação,1° Semestre ,Iniciante,Sim,"Chat Gpt, Copilot",Sempre,Resolver problemas,Não,"Lógica, Algorítimos",Discordo,Sim,Apenas obtenho respostas rápidas,"Entender algoritmos, lógica e cálculo 1.","É interessante quando se usa para entender mesmo a disciplina, mas a maioria dos alunos uso para copiar as respostas.",
05/11/2024 14:16:37,Engenharia de Software,Primeiro,Iniciante,Sim,"Chat Gpt, Copilot",Raramente,"Resolver problemas, Gerar ideias, Melhorar habilidades de codificação, Otimizar tempo",Sim,"Lógica, Estrutura de Dados",Concordo,Sim,Compreendo melhor,"Quando eu tive dúvidas específicas, era mais difícil encontrar as respostas que eu precisava.","Eu sou a favor, mas até o ponto que ela não atrapalhe o ensino do aluno. O aluno tem que entender cada linha do que ele está desenvolvendo.","Python:

def verificar_primos(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def filtrar_primos(lista_numeros):
    return [num for num in lista_numeros if verificar_primos(num)]

entrada = input(""Digite uma lista de números inteiros separados por espaço: "")
lista_numeros = list(map(int, entrada.split()))

numeros_primos = filtrar_primos(lista_numeros)
print(""Os números primos na lista são:"", numeros_primos)"
06/11/2024 11:01:19,Engenharia de Software,2,Intermediário,Sim,Chat Gpt,Quase sempre,"Resolver problemas, Entender códigos, Melhorar habilidades de codificação, Otimizar tempo",Sim,"Lógica, Estrutura de Dados, Algorítimos, Otimização",Concordo,Sim,Apenas obtenho respostas rápidas,"Estrutura de Dados
","é muito bom se souber usar, muita gente se engana achando que está aprendendo, mas acaba se autossabotando ","bool eh_primo(int n) {
    if (n <= 1) return false;  
    if (n <= 3) return true;  
    if (n % 2 == 0 || n % 3 == 0) return false;

    for (int i = 5; i * i <= n; i += 6) {
        if (n % i == 0 || n % (i + 2) == 0) return false;
    }
    return true;
}

void identifica_primos(int arr[], int tamanho) {
    printf(""Números primos no array: "");
    for (int i = 0; i < tamanho; i++) {
        if (eh_primo(arr[i])) {
            printf(""%d "", arr[i]);
        }
    }
    printf(""\n"");
}"
08/11/2024 18:17:59,Engenharia de Software,6,Intermediário,Sim,"Chat Gpt, Copilot, CodePilot",Quase sempre,"Resolver problemas, Entender códigos, Gerar ideias",Sim,"Lógica, Estrutura de Dados",Neutro,Sim,Compreendo melhor,Entendimento ,Acho que agrega,
